employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
119,Karen,Colmenares,KCOLMENA,515.127.4566,10-AUG-1999,PU_CLERK,2500,,114.0,30.0
120,Matthew,Weiss,MWEISS,650.123.1234,18-JUL-1996,ST_MAN,8000,,100.0,50.0
121,Adam,Fripp,AFRIPP,650.123.2234,10-APR-1997,ST_MAN,8200,,100.0,50.0
122,Payam,Kaufling,PKAUFLIN,650.123.3234,01-MAY-1995,ST_MAN,7900,,100.0,50.0
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10-OCT-1997,ST_MAN,6500,,100.0,50.0
124,Kevin,Mourgos,KMOURGOS,650.123.5234,16-NOV-1999,ST_MAN,5800,,100.0,50.0
125,Julia,Nayer,JNAYER,650.124.1214,16-JUL-1997,ST_CLERK,3200,,120.0,50.0
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,28-SEP-1998,ST_CLERK,2700,,120.0,50.0
127,James,Landry,JLANDRY,650.124.1334,14-JAN-1999,ST_CLERK,2400,,120.0,50.0
128,Steven,Markle,SMARKLE,650.124.1434,08-MAR-2000,ST_CLERK,2200,,120.0,50.0
129,Laura,Bissot,LBISSOT,650.124.5234,20-AUG-1997,ST_CLERK,3300,,121.0,50.0
130,Mozhe,Atkinson,MATKINSO,650.124.6234,30-OCT-1997,ST_CLERK,2800,,121.0,50.0
131,James,Marlow,JAMRLOW,650.124.7234,16-FEB-1997,ST_CLERK,2500,,121.0,50.0
132,TJ,Olson,TJOLSON,650.124.8234,10-APR-1999,ST_CLERK,2100,,121.0,50.0
133,Jason,Mallin,JMALLIN,650.127.1934,14-JUN-1996,ST_CLERK,3300,,122.0,50.0
134,Michael,Rogers,MROGERS,650.127.1834,26-AUG-1998,ST_CLERK,2900,,122.0,50.0
135,Ki,Gee,KGEE,650.127.1734,12-DEC-1999,ST_CLERK,2400,,122.0,50.0
136,Hazel,Philtanker,HPHILTAN,650.127.1634,06-FEB-2000,ST_CLERK,2200,,122.0,50.0
137,Renske,Ladwig,RLADWIG,650.121.1234,14-JUL-1995,ST_CLERK,3600,,123.0,50.0
138,Stephen,Stiles,SSTILES,650.121.2034,26-OCT-1997,ST_CLERK,3200,,123.0,50.0
139,John,Seo,JSEO,650.121.2019,12-FEB-1998,ST_CLERK,2700,,123.0,50.0
140,Joshua,Patel,JPATEL,650.121.1834,06-APR-1998,ST_CLERK,2500,,123.0,50.0
141,Trenna,Rajs,TRAJS,650.121.8009,17-OCT-1995,ST_CLERK,3500,,124.0,50.0
142,Curtis,Davies,CDAVIES,650.121.2994,29-JAN-1997,ST_CLERK,3100,,124.0,50.0
143,Randall,Matos,RMATOS,650.121.2874,15-MAR-1998,ST_CLERK,2600,,124.0,50.0
144,Peter,Vargas,PVARGAS,650.121.2004,09-JUL-1998,ST_CLERK,2500,,124.0,50.0
145,John,Russell,JRUSSEL,011.44.1344.429268,01-OCT-1996,SA_MAN,14000,0.4,100.0,80.0
146,Karen,Partners,KPARTNER,011.44.1344.467268,05-JAN-1997,SA_MAN,13500,0.3,100.0,80.0
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,10-MAR-1997,SA_MAN,12000,0.3,100.0,80.0
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,15-OCT-1999,SA_MAN,11000,0.3,100.0,80.0
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,29-JAN-2000,SA_MAN,10500,0.2,100.0,80.0
150,Peter,Tucker,PTUCKER,011.44.1344.129268,30-JAN-1997,SA_REP,10000,0.3,145.0,80.0
151,David,Bernstein,DBERNSTE,011.44.1344.345268,24-MAR-1997,SA_REP,9500,0.25,145.0,80.0
152,Peter,Hall,PHALL,011.44.1344.478968,20-AUG-1997,SA_REP,9000,0.25,145.0,80.0
153,Christopher,Olsen,COLSEN,011.44.1344.498718,30-MAR-1998,SA_REP,8000,0.2,145.0,80.0
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,09-DEC-1998,SA_REP,7500,0.2,145.0,80.0
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,23-NOV-1999,SA_REP,7000,0.15,145.0,80.0
156,Janette,King,JKING,011.44.1345.429268,30-JAN-1996,SA_REP,10000,0.35,146.0,80.0
157,Patrick,Sully,PSULLY,011.44.1345.929268,04-MAR-1996,SA_REP,9500,0.35,146.0,80.0
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,01-AUG-1996,SA_REP,9000,0.35,146.0,80.0
159,Lindsey,Smith,LSMITH,011.44.1345.729268,10-MAR-1997,SA_REP,8000,0.3,146.0,80.0
160,Louise,Doran,LDORAN,011.44.1345.629268,15-DEC-1997,SA_REP,7500,0.3,146.0,80.0
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,03-NOV-1998,SA_REP,7000,0.25,146.0,80.0
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,11-NOV-1997,SA_REP,10500,0.25,147.0,80.0
163,Danielle,Greene,DGREENE,011.44.1346.229268,19-MAR-1999,SA_REP,9500,0.15,147.0,80.0
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,24-JAN-2000,SA_REP,7200,0.1,147.0,80.0
165,David,Lee,DLEE,011.44.1346.529268,23-FEB-2000,SA_REP,6800,0.1,147.0,80.0
166,Sundar,Ande,SANDE,011.44.1346.629268,24-MAR-2000,SA_REP,6400,0.1,147.0,80.0
167,Amit,Banda,ABANDA,011.44.1346.729268,21-APR-2000,SA_REP,6200,0.1,147.0,80.0
168,Lisa,Ozer,LOZER,011.44.1343.929268,11-MAR-1997,SA_REP,11500,0.25,148.0,80.0
169,Harrison,Bloom,HBLOOM,011.44.1343.829268,23-MAR-1998,SA_REP,10000,0.2,148.0,80.0
170,Tayler,Fox,TFOX,011.44.1343.729268,24-JAN-1998,SA_REP,9600,0.2,148.0,80.0
171,William,Smith,WSMITH,011.44.1343.629268,23-FEB-1999,SA_REP,7400,0.15,148.0,80.0
172,Elizabeth,Bates,EBATES,011.44.1343.529268,24-MAR-1999,SA_REP,7300,0.15,148.0,80.0
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,21-APR-2000,SA_REP,6100,0.1,148.0,80.0
174,Ellen,Abel,EABEL,011.44.1644.429267,11-MAY-1996,SA_REP,11000,0.3,149.0,80.0
175,Alyssa,Hutton,AHUTTON,011.44.1644.429266,19-MAR-1997,SA_REP,8800,0.25,149.0,80.0
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,24-MAR-1998,SA_REP,8600,0.2,149.0,80.0
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,23-APR-1998,SA_REP,8400,0.2,149.0,80.0
178,Kimberely,Grant,KGRANT,011.44.1644.429263,24-MAY-1999,SA_REP,7000,0.15,149.0,
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,04-JAN-2000,SA_REP,6200,.10,149,80
180,Winston,Taylor,WTAYLOR,650.507.9876,24-JAN-1998,SH_CLERK,3200,NULL,120,50
181,Jean,Fleaur,JFLEAUR,650.507.9877,23-FEB-1998,SH_CLERK,3100,NULL,120,50
182,Martha,Sullivan,MSULLIVA,650.507.9878,21-JUN-1999,SH_CLERK,2500,NULL,120,50
183,Girard,Geoni,GGEONI,650.507.9879,03-FEB-2000,SH_CLER,2800,NULL,120,50
